Video/ Audio,URL,Transit relevent ?,Count - video(past 12 months),Count - Meetings (past 12 months),Transportation Commission/City Counsil/ Planning Commission?,Mentioned Transportation Topic?,Transportation Commission Existed?,Transportation Commission video posted (>2 in the last year)?,"If no transportation commission, other meetings posted?",NAME2,AgencyName,NTDID,orgtype,pop,reptype,VOMS,mile,revenue,survey_response,Density,County,id,Contact Name,Email.x,Transit Operating Expense,size,CTA,Founded,OrgName,Organization Type,Website,Address,Zip,Phone,Primary Contact - Title,CALACT,Contact,Email.y,CATEGORY,OT,City
Own Website,http://arcataca.iqm2.com/Citizens/Calendar.aspx,No,68,128,,,,,,Arcata,City of Arcata,9R02-91018,Local Government,,Rural Reporter,3,,,0,,Humboldt,Principal City,,,,,,,,,,,,,,,,,,Local Government,Arcata
No,,,,,,,,,,Arvin,City of Arvin,9R02-91027,Local Government,,Rural Reporter,6,,,1,,Kern,Small Rural City,,,,,,,"Arvin, City of",Local or Regional Government Agency,www.arvin.org,165 Plum Tree,93203,661-606-6055,Transportation Director,CALACT Member,Hesham Elshazly,heshame@arvin.org,,Local Government,Arvin
No,,,,,,,,,,Association of Monterey Bay Area Governments (AMBAG),Association of Monterey Bay Area Governments (AMBAG),,MPO/RTPA,,,,5151,,0,,,,,,,,,1975,,,,,,,,,,,,MPO/RTPA,Marina
Own Website,https://www.auburn.ca.gov/129/Agendas-Minutes,No,29,29,,,,,,Auburn,City of Auburn,9R02-91032,Local Government,,Rural Reporter,5,,,1,,Placer,Small Rural City,,,,,,,"Auburn, City of - Department of Public Works",Local or Regional Government Agency,http://www.auburn.ca.gov,1225 Lincoln Way Rm 3,95603,530-823-4211 x14,Human Resources Manager,CALACT Member,Shari Harris,sharris@auburn.ca.gov,,Local Government,Auburn
YouTube,https://www.youtube.com/@CityofAvalonCA/streams,No,39,,No/Yes/Yes,City Council/Planning Comission,"No, only planning commission exists",N/A,"Yes, Palnning Commision, City Council",Avalon,City of Avalon,90249,Local Government,3801,Reduced Reporter,4,1,819641,1,6999,Los Angeles,Suburban City,,,,,,,"Avalon, City of",Local or Regional Government Agency,http://cityofavalon.com,PO Box 707,90704,310-510-0220 x11,Grants Administrator,CALACT Member,Audra McDonald,Audra1@cityofavalon.com,,Local Government,Avalon
Granicus,https://baldwinpark.granicus.com/ViewPublisher.php?view_id=10,No,26,,,,,,,Baldwin Park,City of Baldwin Park,90251,Local Government,76056,Reduced Reporter,6,7,1459975,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Baldwin Park
Own Website,https://banninglive.viebit.com/index.php?folder=ALL,No,19,,,,,,,Banning,,,Local Government,,,,,,0,,,,,,,,,,"Banning, City of",Local or Regional Government Agency,http://banning.ca.us/294/Contact-Us,PO Box 998,92220,951-922-3242,"Director Public Works, City Engineer",CALACT Member,Arturo Vela,avela@banningca.gov,,Local Government,Banning
YouTube,https://www.youtube.com/@TheCityofBeaumont/streams,No,20,,,,,,,Beaumont,,,Local Government,,,,,,0,,,,,,,,,,"Beaumont, City of",Local Government,www.beaumontca.gov,550 East 6th Street,92223,951-769-8530,Management Analyst,CALACT Member,Celina Cabrera,ccabrera@beaumontca.gov,Local Government,Local Government,Beaumont
Own Website,https://www.cityofbell.org/?NavID=101,No,20,,,,,,,Bell,City of Bell,90252,Local Government,35731,Reduced Reporter,7,3,345823,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Bell
Own Website,https://www.bellgardens.org/i-want-to/watch-city-council-meetings,No,16,,,,,,,Bell Gardens,City of Bell Gardens,90253,Local Government,42889,Reduced Reporter,6,2,1111408,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Bell Gardens
YouTube,https://www.youtube.com/@CityOfBellflower90706/videos,No,25,,,,,,,Bellflower,City of Bellflower,90254,Local Government,78106,Reduced Reporter,4,6,1553994,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Bellflower
No,,,,,,,,,,Blue Lake Rancheria,Blue Lake Rancheria,99292,Other,,Reduced Reporter,1,,123569,0,0,Humboldt,Small Rural City,,,,,,,,,,,,,,,,,,Other,Blue Lake
Own Website,https://www.burbankca.gov/web/city-clerks-office/meeting-agendas-and-minutes,No,56,56,,,,,,Burbank,City of Burbank,90256,Local Government,104834,Reduced Reporter,14,17,1934429,0,6999,Los Angeles,Principal City,,,,,,,"Burbank, City of",Local Government,http://burbankca.gov,275 E Olive Avenue,91510,818-238-5359,Transportation Services Manager,CALACT Member,Adam Emmer,aemmer@burbankca.gov,Local Government,Local Government,Burbank
YouTube,https://www.youtube.com/channel/UCHidik5N5lu0dU8NwhK3hIw,No,5,,,,,,,Butte County Association of Governments,Butte County Association of Governments,90208,MPO/RTPA,187257,Full Reporter,48,202,14258314,1,2853,Butte,Principal City,,,,,,1980,Butte County Association of Governments,MPO/RTPA,http://www.bcag.org,326 Huss Drive Ste 150,95928,530-809-4616,Deputy Director,CALACT Member,Andy Newsum,anewsum@bcag.org,MPO/RTPA,MPO/RTPA,Chico
YouTube,https://www.youtube.com/@CityofCalabasas/playlists,Yes,21,,,,,,,Calabasas,City of Calabasas,90257,Local Government,24075,Reduced Reporter,13,13,721419,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Calabasas
No,,,,,,,,,,Calaveras County Department of Public Works,Calaveras County Department of Public Works,9R02-91063,Local Government,,Rural Reporter,11,,,0,,Calaveras,Small Rural City,,,,,,,,,,,,,,,,,,Local Government,San Andreas
No,,,,,,,,,,Calaveras Transit Agency,,,Independent Public Agency,,,,,,0,,,,,,,,,,Calaveras Transit Agency,Independent Public Agency,www.CalaverasConnect.org,PO Box 280,95249,209-754-2094,Executive Director,CALACT Member,Amber Collins,acollins@calacog.org,Independent Public Agency,Independent Public Agency,San Andreas
YouTube,https://www.youtube.com/@TheCityofCamarillo,No,21,,,,,,,Camarillo,City of Camarillo,90163,Local Government,67845,Reduced Reporter,21,20,2262048,0,3263,Ventura,Principal City,,,,,,,"Camarillo, City of - Camarillo Area Transit",Local or Regional Government Agency,http://cityofcamarillo.org,601 Carmen Drive,93010,805-383-5614,Engineering Technician,CALACT Member,Tyler Nestved,tnestved@cityofcamarillo.org,,Local Government,Camarillo
Own Website,https://ci.carson.ca.us/government/videoarchive.aspx,No,17,17,,,,,,Carson,City of Carson,90258,Local Government,91714,Reduced Reporter,15,19,2869915,0,6999,Los Angeles,Principal City,,,,,,,,,,,,,,,,,,Local Government,Carson
No,,,,,,,,,,Central Contra Costa Transit Authority,Central Contra Costa Transit Authority,90078,Independent Public Agency,540067,Full Reporter,140,143,38306562,0,3023,Contra Costa,Suburban City,Rick Ramacier,ramacier@countyconnection.com,35443645,medium,CTA Member,,Central Contra Costa Transit Authority,Public Operator,https://www.countyconnection.com,2477 Arnold Industrial Way,94520,925-676-1976,General Manager,CALACT Member,Rick Ramacier,ramacier@cccta.org,,Independent Public Agency,Concord
Own Website,http://www.cerritos.us/RESIDENTS/tv3/video_archive.php,No,27,27,,,,,,Cerritos,City of Cerritos,90259,Local Government,50004,Reduced Reporter,16,9,1505685,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Cerritos
No,,,,,,,,,,Chemehuevi Indian Tribe,Chemehuevi Indian Tribe,99316,Other,,Reduced Reporter,2,,2216280,0,0,San Bernardino,Suburban City,,,,,,,,,,,,,,,,,,Other,Havasu Lake
Facebook,https://www.facebook.com/ChowchillaCity/videos,No,28,,,,,,,Chowchilla,,,Local Government,,,,,,0,,,,,,,,,,"Chowchilla, City of",Local or Regional Government Agency,http://www.cityofchowchilla.org,130 S Second Street,93610,559-665-8615 x203,Transit Supervisor,CALACT Member,Robin Roman,rroman@cityofchowchilla.org,,Local Government,Chowchilla
Granicus,https://sanfrancisco.granicus.com/ViewPublisher.php?view_id=10,No,40,40,,,,,,City and County of San Francisco,City and County of San Francisco,90015,Independent Public Agency,883963,Full Reporter,1014,49,1397662475,0,6266,San Francisco,Principal City,Kate Breen,kate.breen@sfmta.com,915708076,large,CTA Member,,San Francisco Municipal Transportation Agency,Public Operator,https://www.sfmta.com/,1 South Van Ness 7th Flr,94103,415-701-4485,"Director, Accessible Services",CALACT Member,Annette Williams,Annette.Williams@sfmta.com,,Independent Public Agency,San Francisco
No,,,,,,,,,,CIty of Dinuba,CIty of Dinuba,9R02-91040,Local Government,,Rural Reporter,6,,,0,,Tulare,Small Rural City,,,,,,,"Dinuba, City of - Public Works Department",Local Government,http://www.dinuba.org/departments/public-works-department,1088 E Kamm Avenue,93618,559-591-5924,Business Manager,CALACT Member,George Avila,gavila@dinuba.ca.gov,Local Government,Local Government,Dinuba
Own Website,https://www.ci.claremont.ca.us/government/city-council/watch-city-council-meetings,No,23,23,,,,,,Claremont,,,Local Government,,,,,,0,,,,,,,,,,"Claremont, City of",Local or Regional Government Agency,https://www.ci.claremont.ca.us/,1616 Monte Vista Avenue,91711,909-399-5431,Community Services Manager,CALACT Member,Kristin Mikula,kmikula@ci.claremont.ca.us,,Local Government,Claremont
No,,,,,,,,,,Clovis - Transit,,,Local Government,,,,,,0,,,,,,,,,,"Clovis, City of - Transit",Local Government,www.cityofclovis.com/transit,155 N Sunnyside Avenue,93611,559-324-2770,General Services Manager,CALACT Member,Amy Hance,amyh@cityofclovis.com,Local Government,Local Government,Clovis
No,,,,,,,,,,Colusa County Transit Agency,,,Independent Public Agency,,,,,,0,,,,,,,,,,Colusa County Transit Agency,Public Operator,http://www.colusa-ca.gov/,715 D Street,95932,530-458-0287,Transit Manager,CALACT Member,Thomas Simms,tsimms@countyofcolusa.com,,Independent Public Agency,Colusa
YouTube,https://www.youtube.com/@CityOfCommerceCity/streams,No,40,,,,,,,Commerce,City of Commerce,90043,Local Government,12997,Full Reporter,14,11,5233802,0,6999,Los Angeles,Suburban City,Claude McFerguson,Claudem@ci.commerce.ca.us,5691233,small,CTA Member,,"Commerce , City of - Transportation Department",Local Government,www.ci.commerce.ca.us,5555 Jillson Street,90040,323-887-4419,Director of Transportation,CALACT Member,Claude McFerguson,ClaudeM@ci.commerce.ca.us,Local Government,Local Government,Commerce
Own Website,https://www.comptoncity.org/departments/city-clerk/agendas-meetings-and-minutes/video-archive,No,,,,,,,,Compton,City of Compton,90260,Local Government,97550,Reduced Reporter,7,10,1052783,0,6999,Los Angeles,Suburban City,,,,,,,"Compton, City of",Local or Regional Government Agency,http://comptoncity.org,205 S Willowbrook Avenue,90220,310-761-1422,Project Manager,CALACT Member,John Strickland,jstrickland@comptoncity.org,,Local Government,Compton
No,,,,,,,,,,Corcoran - Transit Division,,,Local Government,,,,,,0,,,,,,,,,,"Corcoran, City of - Transit Division",Local Government,http://www.cityofcorcoran.com,832 Whitley Avenue,93212,559-992-1216,Transit Coordinator,CALACT Member,Valerie Bega,Valerie.bega@cityofcorcoran.com,Local Government,Local Government,Corcoran
YouTube,https://www.youtube.com/@Innercirclecorona/streams,No,,,,,,,,Corona,City of Corona,90052,Local Government,166785,Reduced Reporter,15,41,3769544,1,3546,Riverside,Principal City,,,,,,,"Corona, City of",Local or Regional Government Agency,http://CoronaCA.gov/transit,400 S Vicentia Avenue Ste 210,92882,951-279-3763,Transportation Planning Supervisor,CALACT Member,Sudesh Paul,sudesh.paul@coronaca.gov,,Local Government,Corona
Granicus,https://corona.legistar.com/Calendar.aspx,No,23,23,,,,,,County of Placer,County of Placer,90196,Independent Public Agency,357463,Full Reporter,38,471,16212174,0,3660,Placer,Small Rural City,Will Garner,Wgarner@placer.ca.gov,14640128,small,CTA Member,,Placer County   PCT & TART,Independent Public Agency,http://www.placer.ca.gov/browse/transportation-travel/transit,3091 Country Center Drive Ste 220,95603,530-745-7582,Deputy Director - Placer DPW,CALACT Member,Will Garner,wgarner@placer.ca.gov,Independent Public Agency,Independent Public Agency,Auburn
No,,,,,,,,,,County of Sacramento Municipal Services Agency Department of Transportation,County of Sacramento Municipal Services Agency Department of Transportation,9R02-90216,Local Government,,Rural Reporter,13,,,0,,Sacramento,Principal City,,,,,,,,,,,,,,,,,,Local Government,Sacramento
No,,,,,,,,,,County of Shasta Department of Public Works,County of Shasta Department of Public Works,9R02-99438,Local Government,,Rural Reporter,0,,,0,,Shasta,Principal City,,,,,,,,,,,,,,,,,,Local Government,Redding
No,,,,,,,,,,County of Siskiyou,County of Siskiyou,9R02-91048,Local Government,,Rural Reporter,8,,,0,,Siskiyou,Small Rural City,,,,,,,,,,,,,,,,,,Local Government,Yreka
Granicus,https://sonoma-county.legistar.com/Calendar.aspx,No,65,65,,,,,,County of Sonoma,County of Sonoma,90089,Local Government,509142,Full Reporter,66,395,16471112,0,3146,Sonoma,Principal City,,,,,,,,,,,,,,,,,,Local Government,Santa Rosa
YouTube,,,20,,,,,,,County of Ventura,County of Ventura,90298,Local Government,14212,Reduced Reporter,4,4,584545,0,2509,Ventura,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Ventura
Own Website,https://www.cityofcudahy.com/AgendaCenter,No,31,31,,,,,,Cudahy,City of Cudahy,90262,Local Government,24103,Reduced Reporter,6,1,275498,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Cudahy
YouTube,https://www.youtube.com/@CityofCulverCityGov/streams,No,19,,,,,,,Culver City,City of Culver City,90039,Local Government,341718,Full Reporter,46,33,24619672,1,6999,Los Angeles,Suburban City,Rolando Cruz,rolando.cruz@culvercity.org,24109151,small,CTA Member,,"Culver City, City of",Local Government,https://www.culvercitybus.com/Home,4343 Duquesne Avenue,90232,951-500-4974,Deputy Transportation Officer,CALACT Member,Michael Tobin,michael.tobin@culvercity.org,Local Government,Local Government,Culver City
No,,,,,,,,,,Delano,City of Delano,90238,Local Government,53041,Reduced Reporter,9,50,2026213,0,5483,Kern,Small Rural City,,,,,,,"Delano, City of",Local Government,http://www.cityofdelano.org,PO Box 3010,93216,661-721-2602,Transit Manager,CALACT Member,Viviania Zamora,vzamora@cityofdelano.org,Local Government,Local Government,Delano
YouTube,https://www.youtube.com/channel/UCjWsukwVjG13PI3UugptpRg/live,No,20,,,,,,,Downey,City of Downey,90263,Local Government,111772,Reduced Reporter,16,13,2539257,0,6999,Los Angeles,Suburban City,,,,,,,"Downey, City of - Transit",Local Government,http://downeyca.org,7850 Quill Drive,90242,562-904-7238,Recreation Manager,CALACT Member,Jason Chacon,jchacon@downeyca.org,Local Government,Local Government,Downey
Own Website,https://www.accessduarte.com/government/agendas-minutes,No,30,30,,,,,,Duarte,City of Duarte,90264,Local Government,21724,Reduced Reporter,2,7,809799,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Duarte
Granicus,https://bishop-ca.granicus.com/ViewPublisher.php?view_id=6,No,0,,,,,,,Eastern Sierra Transit Authority,Eastern Sierra Transit Authority,9R02-91062,Independent Public Agency,,Rural Reporter,44,,,0,,Inyo,Small Rural City,,,,,,,Eastern Sierra Transit Authority,Public Operator,http://www.estransit.com,PO Box 1357,93515,760-872-1901 x15,Executive Director,CALACT Member,Phil Moores,pmoores@estransit.com,,Independent Public Agency,Bishop
No,,,,,,,,,,El Dorado County Transit Authority,El Dorado County Transit Authority,90229,Independent Public Agency,147200,Full Reporter,34,1551,11385148,1,3660,El Dorado,Small Rural City,,,,,,,El Dorado County Transit Authority,Public Operator,http://www.eldoradotransit.com,6565 Commerce Drive,95619,530-642-5383,Executive Director,CALACT Member,Matt Mauk,mmauk@eldoradotransit.com,,Independent Public Agency,Diamond Springs
No,,,,,,,,,,El Dorado County Transportation Commission,,,MPO/RTPA,,,,,,1,,,,,,,,,,El Dorado County Transportation Commission,Local or Regional Government Agency,http://www.edctc.org,2828 Easy Street Ste 1,95667,530-642-5260,Executive Director,CALACT Member,Woodrow Deloria,wdeloria@edctc.org,,MPO/RTPA,Placerville
Own Website,https://www.ci.el-monte.ca.us/378/Council-Meeting-Videos,No,24,24,,,,,,El Monte,City of El Monte,90265,Local Government,201889,Reduced Reporter,13,10,3017151,1,6999,Los Angeles,Suburban City,,,,,,,"El Monte, City of",Local or Regional Government Agency,http://www.elmonteca.gov/,3990 Arden Drive,91731,626-580-2217,Transportation Operations Manager,CALACT Member,Sarah Zadok,szadok@elmonteca.gov,,Local Government,El Monte
Granicus,https://elkgrove.granicus.com/ViewPublisher.php?view_id=18,No,50,50,,,,,,Elk Grove,City of Elk Grove,90205,Local Government,171059,Full Reporter,54,42,12890543,0,3660,Sacramento,Small Rural City,Michael Costa,mcosta@elkgrovecity.org,9500590,small,CTA Member,,"Elk Grove, City of - Transit Services",Local or Regional Government Agency,http://cityofelkgrove.org,8401 Laguna Palms Way,95758,916-687-3030,Transit System Manager,CALACT Member,Mike Costa,mcosta@elkgrovecity.org,,Local Government,Elk Grove
YouTube,https://www.youtube.com/@cityofescalon3597/streams,No,,,,,,,,Escalon,City of Escalon,9R02-91078,Local Government,,Rural Reporter,2,,,1,,San Joaquin,Small Rural City,,,,,,,"Escalon, City of",Local Government,http://www.cityofescalon.org,2060 McHenry Avenue,95320,209-691-7265,Transit Coordinator,CALACT Member,John Andoh,transit@cityofescalon.org,Local Government,Local Government,Escalon
Granicus,http://eureka.granicus.com/ViewPublisher.php?view_id=2,No,28,28,,,,,,Eureka,City of Eureka,9R02-91093,Local Government,,Rural Reporter,4,,,0,,Humboldt,Principal City,,,,,,,,,,,,,,,,,,Local Government,Eureka
YouTube,https://www.youtube.com/playlist?list=PLqpqLYjOunlylxi469aKTmaGjhz_xZkPL,No,23,,,,,,,Fairfield,City of Fairfield,90092,Local Government,505849,Full Reporter,43,129,25766099,0,3388,Solano,Suburban City,Diane Feinstein,defeinstein@fairfield.ca.gov,11695535,small,CTA Member,,"Fairfield, City of",Local or Regional Government Agency,https://www.fairfield.ca.gov/,2000 Cadenasso Drive,94533,707-434-3800,Sr Management Analyst,CALACT Member,Diane Feinstein,defeinstein@fairfield.ca.gov,,Local Government,Fairfield
Granicus,http://folsom.granicus.com/ViewPublisher.php?view_id=2,No,23,,,,,,,Folsom,City of Folsom,90220,Local Government,78038,Reduced Reporter,7,24,2079819,0,3660,Sacramento,Principal City,,,,,,,,,,,,,,,,,,Local Government,Folsom
No,,,,,,,,,,Foothill Transit,Foothill Transit,90146,Independent Public Agency,1515836,Full Reporter,296,327,120996702,1,6999,Los Angeles,Suburban City,Doran Barnes,Dbarnes@foothilltransit.org,93218066,medium,CTA Member,,,,,,,,,,,,,Independent Public Agency,West Covina
YouTube,https://www.youtube.com/@cityoffresnocouncilboardsa557/streams,No,,,,,,,,Fresno,City of Fresno,90027,Local Government,527438,Full Reporter,150,133,77990171,1,3822,Fresno,Principal City,Gregory A. Barfield,gregory.barfield@fresno.gov,49349653,medium,CTA Member,,"Fresno, City of - Department of Transportation/FAX",Local or Regional Government Agency,http://www.fresno.gov,2223 G Street,93706,559-621-1101,Director of Transportation,CALACT Member,Gregory Barfield,Gregory.Barfield@fresno.gov,,Local Government,Fresno
No,,,,,,,,,,Fresno Council of Governments (Fresno COG),Fresno Council of Governments (Fresno COG),,MPO/RTPA,,,,6016,,1,,,,,,,,,1972,Fresno Council of Governments,Local or Regional Government Agency,www.fresnocog.org,2035 Tulare Street Ste 201,93721,559-233-4148,Senior Regional Planner,CALACT Member,Peggy Arnest,parnest@fresnocog.org,,MPO/RTPA,Fresno
No,,,,,,,,,,Fresno County Rural Transit Agency,Fresno County Rural Transit Agency,9R02-91007,Independent Public Agency,,Rural Reporter,90,,,1,,Fresno,Principal City,Moses Stites,mstites@fresnocog.org,4933077,small,CTA Member,,Fresno County Rural Transit Agency,Public Operator,http://ruraltransit.org,2035 Tulare Street Ste 201,93721,559-233-6789 x24,General Manager,CALACT Member,Moses Stites,mstites@fresnocog.org,,Independent Public Agency,Fresno
YouTube,https://www.youtube.com/@CityofGardena/streams,No,20,,,,,,,Gardena,City of Gardena,90042,Local Government,463968,Full Reporter,49,40,22483291,0,6999,Los Angeles,Principal City,Dana Pynn,dpynn@gardenabus.com,24172115,small,CTA Member,,"Gardena, City of",Local Government,http://www.ridegtrans.com,13999 S Western Avenue,90249,310-965-8811,Transit Administrative Officer,CALACT Member,Dana Pynn,dpynn@gardenabus.com,Local Government,Local Government,Gardena
YouTube,https://www.glendaleca.gov/government/public-meeting-portal,No,23,,,,,,,Glendale,City of Glendale,99423,Local Government,223467,Full Reporter,34,39,10052408,0,6999,Los Angeles,Principal City,,,,,,,"Glendale, City of",Local or Regional Government Agency,www.glendaleca.gov,1759 Gardena Avenue,91204,818-937-8330,Transit Manager,CALACT Member,Martha D'Andrea,MDAndrea@GlendaleCA.gov,,Local Government,Glendale
YouTube,https://www.youtube.com/@CityofGlendoraCA/playlists,No,24,,,,,,,Glendora,City of Glendora,90266,Local Government,51290,Reduced Reporter,13,19,858716,0,6999,Los Angeles,Suburban City,,,,,,,"Glendora, City of",Local or Regional Government Agency,http://www.cityofglendora.org/transportation,116 E Foothill Blvd,91741,626-852-4814,Transportation Superintendent,CALACT Member,Steven Mateer,smateer@cityofglendora.org,,Local Government,Glendora
Granicus,https://glenncounty.granicus.com/ViewPublisher.php?view_id=8,No,8,,,,,,,Glenn Transit Service,Glenn Transit Service,9R02-91088,Independent Public Agency,,Rural Reporter,4,,,0,,Glenn,Small Rural City,,,,,,,Glenn Transit Service,Public Operator,https://www.countyofglenn.net/dept/public-works/public-transit-transportation/welcome,225 N Tehama Street,95988,530-934-6540,Principal Planner,CALACT Member,Mardy Thomas,mthomas@countyofglenn.net,,Independent Public Agency,Willows
No,,,,,,,,,,Gold Coast Transit,Gold Coast Transit,90035,Independent Public Agency,367260,Full Reporter,72,84,35662954,1,4352,Ventura,Principal City,Steven Brown,Sbrown@goldcoasttransit.org,23851890,small,CTA Member,,Gold Coast Transit District,Public Operator,http://www.goldcoasttransit.org,1901 Auto Center Drive,93036,805-483-3959 x120,Paratransit & Special Project Manager,CALACT Member,Margaret Heath-Schoep,mschoep@gctd.org,,Independent Public Agency,Oxnard
YouTube,https://www.youtube.com/@goldenempiretransit5715/featured,No,0,,,,,,,Golden Empire Transit District,Golden Empire Transit District,90004,Independent Public Agency,497989,Full Reporter,87,111,32370558,0,3785,Kern,Principal City,Karen King,kking@getbus.org,29970475,small,CTA Member,,Golden Empire Transit District,Public Operator,http://getbus.org,1830 Golden State Avenue,93301,661-324-9874,Maintenance Manager,CALACT Member,Chris James,cjames@getbus.org,,Independent Public Agency,Bakersfield
YouTube,https://www.youtube.com/@goldengatedistrict/streams,Yes,9,,,Yes,"Yes, Transportation committee",8 posted,Not applicable,"Golden Gate Bridge, Highway and Transportation District","Golden Gate Bridge, Highway and Transportation District",90016,Independent Public Agency,896089,Full Reporter,154,145,129705916,0,6266,San Francisco,Principal City,Mona Babauta,mbabauta@goldengate.org,128150389,large,CTA Member,,,,,,,,,,,,,Independent Public Agency,San Francisco
YouTube,https://www.youtube.com/channel/UCaxeHWd9JkmvKnGFU8BAYQQ/live,No,12,,,,,,,Guadalupe,City of Guadalupe,9R02-91043,Local Government,,Rural Reporter,3,,,0,,,Small Rural City,,,,,,,,,,,,,,,,,,Local Government,GUADALUPE
No,,,,,,,,,,Humboldt Transit Authority,Humboldt Transit Authority,9R02-91036,Independent Public Agency,,Rural Reporter,14,,,0,,Humboldt,Principal City,Greg Pratt,greg@hta.org,7297025,small,CTA Member,,Humboldt Transit Authority,Public Operator,http://www.hta.org,133 V Street,95501,707-443-0826,General Manager,CALACT Member,Greg Pratt,greg@hta.org,,Independent Public Agency,Eureka
